participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0001,R_3MarUAEXgFBBuGf,Very Bad,fucked,,The covid situation in NSW is fucked,everywhere,no
A0002,R_3pmQPCnOfdyR2No,Very Bad,Crap,,That explaination is crap,I use it myself,
A0003,R_3qVjXWdknzHy4j5,Very Bad,bloody awful,,The food was bloody awful,throughout my life,
A0004,R_3rGNrQUp49FGe48,Very Bad,Shithouse,,That meal was shithouse,Regional towns,
A0007,R_Tba7dCWNOzl4lhL,Very Bad,"buggered (something broken or, alternatively, someone tired)",,"The tv's buggered. (In the tired meaning, 'I'm buggered', 'you look buggered')",Feel like I've heard it from men born in Australia.,
A0009,R_xgDzRk6IMsmtDR7,Very Bad,Rotten,,That's so rotten,Can be used to describe an act or person,
A0011,R_1r8Ouc1dRUJUdBw,Very Bad,Shithouse,,That's shithouse,By my generation and older,I feel like older people use this a lot
A0012,R_3j0wrfek7k9iVO3,Very Bad,fucked/fucking sucks,,That's fucked. That fucking sucks.,Everywhere! Probably mostly by people under 70.,
A0013,R_2y8gILYzDBaSe2N,Very Bad,Crook,,I'm feeling crook,When someone is not well,
A0014,R_10CvZlGtuabviV0,Very Bad,Shithouse,,"Sorry to hear that, it's shithouse",Casual settings amongst friends,
A0015,R_1QuRC1uLCQOGXFW,Very Bad,Shithouse,,I'm sorry- that's just shithouse,Use it myself,It was a toss up between this and ratshit
A0017,R_2ZP7Z2ueSBIB0s3,Very Bad,A bit average,,"How was your day? ""Yeah, nah, it was a bit average, honestly""","More by rural white people, in Kilmore where I spent my high school years",
A0018,R_u9z1WkNe4ST7Y4h,Very Bad,Rough as guts,,That trip was rough as guts,,
A0019,R_8og7p5iKmdGyQ4V,Very Bad,Crapshoot,,Well that's a crapshoot,When you're told bad news,
A0020,R_voaa3RzI5INwKc1,Very Bad,shithouse,,this government is shithouse,"faily common across contexts, obv a bit rude but many people use in informal speech",
A0022,R_3Lclg1JL8cM2WDa,Very Bad,Shithouse,,A really shithouse situation,"In conversion, on tv",
A0023,R_2uNDhPU4aaTeS7m,Very Bad,Shizenhouser,,,,
A0024,R_4GUQVowv5UL5Stb,Very Bad,Fucked,,That vaccine rollout is fucked,Everywhere adults are speaking casually,Its grouse
A0025,R_2wTWyL62pvTif9d,Very Bad,Shithouse,,That kick was shithouse mate,In footy,Wouldn't use it in some (more polite) circumstances
A0028,R_3DjUZGcGGEmbVrs,Very Bad,Fucked,,"I'm so sorry mate, that's fucked",,
A0030,R_1hWQ37DYhqL7Nbl,Very Bad,Gay,,Your so gay or you looking at gay,Always Australians are homophobic and racist,No.. it will be
A0031,R_3s4xEqgp6fc9VmW,Very Bad,That's no good,,"A., ""I'm crook and can't go to work today"". B. ""That's no good"".",Everywhere,
