participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0001,R_3MarUAEXgFBBuGf,Stupid,fucking idiot,,My brother is a fucking idiot.,everywhere,no
A0003,R_3qVjXWdknzHy4j5,Stupid,thick as two planks,,"Mate, he is as thick as two planks","throughout my life, but less frequently in recent years",
A0004,R_3rGNrQUp49FGe48,Stupid,Galah,,You forgot your hat you bloody Galah,,
A0005,R_1mK8kLtcwTvho8W,Stupid,As thick as two short planks,,He was as thick as too short planks,Family members,No
A0007,R_Tba7dCWNOzl4lhL,Stupid,drongo,,'What a drongo!',Can't recall hearing it in real life. I feel like my knowledge of it comes from older media (e.g. something like Puberty Blues).,
A0008,R_3QJeHhx8WNfrL3Q,Stupid,A stubby short of a 6 pack,,He is perhaps a stubby short of a 6 pack,My dad,
A0009,R_xgDzRk6IMsmtDR7,Stupid,Dickhead,,He's a total dickhead,To describe someone,Can be shortened to toal dick
A0010,R_9LxrzF7tyLH6LcJ,Stupid,Galah,,Don't be a galah,,
A0012,R_3j0wrfek7k9iVO3,Stupid,not the sharpest tool in the shed,,Morrison is not the sharpest tool in the shed.,Amongst middle-aged to older people.,
A0013,R_2y8gILYzDBaSe2N,Stupid,Thick as a plank or brick,,He is as thick as a brick if he can't answer a simple question,Many times,
A0014,R_10CvZlGtuabviV0,Stupid,Toolbag,,"He was such a toolbag, he couldn't even count the number of bags properly",By friends,
A0015,R_1QuRC1uLCQOGXFW,Stupid,Dill,,God he's a dill!,Feel this is an older female relatives' word though I use it,Feels a bit old fashioned
A0017,R_2ZP7Z2ueSBIB0s3,Stupid,Galah,,Ya bloody galah,"I don't feel like I come across it regularly these days, I guess I wouldn't have heard it in the wild since I lived in Kilmore",
A0018,R_u9z1WkNe4ST7Y4h,Stupid,Drongo,,He's a drongo,,
A0019,R_8og7p5iKmdGyQ4V,Stupid,Nob,,That guy is a nob,Whenever a guy is acting like an idiot,
A0020,R_voaa3RzI5INwKc1,Stupid,drongo,,that bloke is an absolute drongo,"reasonably common in informal speech, mainly older whiter users","a bit dated but not terribly so, wouldn't be afraid to use it"
A0021,R_3flfqGE6xkqxbHb,Stupid,Drongo,,He's a drongo,Used more by middle aged or older speakers,Usually more in reference to men than women.
A0022,R_3Lclg1JL8cM2WDa,Stupid,Drongo,,Ya drongo,Tv maybe?,"It feels dated and stereotypical, not one I use day to day"
A0023,R_2uNDhPU4aaTeS7m,Stupid,Dork,,,,
A0024,R_4GUQVowv5UL5Stb,Stupid,Retarded,,That idea is fucking retarded,"Everywhere until the naughties, now it's verboten","It should be ok to use it, it's a medical term"
A0025,R_2wTWyL62pvTif9d,Stupid,Dingbat,,He's a bloody dingbat mate,"Older people (especially older men), more country than city",Not everyday usage
A0027,R_10P1gUJz70MK2HP,Stupid,Drongo,,Hes a right drongo,Growing up - family and friends,
A0028,R_3DjUZGcGGEmbVrs,Stupid,Numpty or numpty fuck,,That dude is a total numpty fuck,,
A0030,R_1hWQ37DYhqL7Nbl,Stupid,Window licker,,Look at those window lickers,Every day,Australians are dumb and racist
A0031,R_3s4xEqgp6fc9VmW,Stupid,Drongo,,"""Kick the ball into the net ya fuckin' drongo!""",Sorry but the footie again,I have no idea what a drongo is
A0032,R_2bJZCteOdKLHfqv,Stupid,Dickhead or dumbass,,"'I can't believe you thought that, what a dumbass'. 'That dickhead just backed into my car.'","School/uni, nights out, chatting with friends. I think it's more likely to have dickhead yelled at you by someone who's angry though. Dumbass is a little bit softer (possibly more in a condescending way - oh, what a dumbass!)","I think dumbass is more American but I've heard a lot of people use it as a general way to say someone is stupid, including themselves, and sometimes affectionately. Dickhead can also be affectionate (haha) but I think it's a bit more aggressive - like moron perhaps. Someone that cuts you off in traffic or behaves like an idiot. It could also be affectionate to call your mates dickheads though."
A0033,R_2CTzqcrC7w1fQrC,Stupid,Drongo,,Ugh he's such a drongo,I use it a lot. I think some friends my age use it ironically. Sometimes I hear people say it when they're yelling at the football at the pub,
A0034,R_24pXXdrFmVGlWSl,Stupid,knobhead,,he's a total knobhead,anywhere,
A0035,R_2VPAgu108j33uuh,Stupid,Drongo,,That bloke is a total drongo - he put diesel in his fuel tank instead of unleaded.,"It's usually I think only a spoken word, and it was used in my family a lot when someone was being an idiot.",
A0036,R_3hgYG7yl4AJ61SE,Stupid,dill,,"he fell over his oen feet, he's such a dill",,
A0037,R_1igFsZGdFjHsDmr,Stupid,Galah,,You silly galah,Just about anywhere but often in country school yards,"Usually said affectionately, with exasperation, not maliciously."
A0038,R_2OMYGoJv8pghrl2,Stupid,dipshit,,my ex-boyfriend was a complete dipshit,,
A0039,R_WfB9hSVjmG63o4h,Stupid,"drongo, flog",,You're such a drongo. That guy's a bit of a flog.,Casual conversation,
A0040,R_8c3DDrGAKq9etYl,Stupid,Useless as tits on a bull,,"That bloke can't do the job, he is as useless as tits on a bull.","When I was growing up, and still today more so in the country",
A0041,R_1mJgbFqfJniDqBK,Stupid,He/she's a few cans sort of a six pack,,If someone does something without thinking,I haven't heard it for a while but have been guilty of saying it to imply someone is a bit silly,
