participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0001,R_3MarUAEXgFBBuGf,Attractive Person,hottie,,Brett Sutton is a hottie.,Facebook,
A0002,R_3pmQPCnOfdyR2No,Attractive Person,Stunner,,That girl is a stunner,I use it myself,
A0003,R_3qVjXWdknzHy4j5,Attractive Person,a real looker,,The new girl is a real looker,no particular time or place,
A0004,R_3rGNrQUp49FGe48,Attractive Person,A bit of alright,,"Check her out, she's a bit of alright",,
A0005,R_1mK8kLtcwTvho8W,Attractive Person,Hot,,She is hot,"Tv shows, people speaking",Not sure if it is actually Australian slang
A0007,R_Tba7dCWNOzl4lhL,Attractive Person,spunk,,'he's a bit of a spunk',came into my consciousness 80s and 90s. I feel like it's dated. I think one could only use this now jocularly.,
A0008,R_3QJeHhx8WNfrL3Q,Attractive Person,Hottie,,He's a hottie,School ground,
A0010,R_9LxrzF7tyLH6LcJ,Attractive Person,Babe,,He/She is such a babe,,
A0012,R_3j0wrfek7k9iVO3,Attractive Person,hot,,She/he/they're hot.,For many years. Maybe a bit dated now?,
A0013,R_2y8gILYzDBaSe2N,Attractive Person,She's a looker,,If someone is attractive,I general conversation,
A0014,R_10CvZlGtuabviV0,Attractive Person,Hottie,,"Phwoar, he's a hottie",By friends in casual settings,
A0015,R_1QuRC1uLCQOGXFW,Attractive Person,Spunk,,Hot spunk rat,I use it with people my age,Feels generational- very 80s
A0017,R_2ZP7Z2ueSBIB0s3,Attractive Person,Hottie,,Check out the hotties over there,In a Don't Thank Me Spank Me song in 2021,"It seems highly gendered, only used by women?"
A0018,R_u9z1WkNe4ST7Y4h,Attractive Person,Easy on the eye,,She's easy on the eye,,
A0019,R_8og7p5iKmdGyQ4V,Attractive Person,Hot,,That guy is hot,Whenever there's a good looking guy around,
A0024,R_4GUQVowv5UL5Stb,Attractive Person,Spunk,,That Shazza is a spunk,Kath and Kim,
A0027,R_10P1gUJz70MK2HP,Attractive Person,Looker,,She's/he's a looker,Public,Pronounced looka
A0028,R_3DjUZGcGGEmbVrs,Attractive Person,Babe,,,,
A0029,R_2WvYbsSiVeItsA5,Attractive Person,Bit of alright,,,"As a joke, my friends say it a lot I think we got it from the TV",
A0030,R_1hWQ37DYhqL7Nbl,Attractive Person,Cunt,,Yoou a hot cunt,I hear it everywhere,No
A0031,R_3s4xEqgp6fc9VmW,Attractive Person,Hot,,Chris Hemsworth is so hot,,Not sure how Australian 'hot' is
A0033,R_2CTzqcrC7w1fQrC,Attractive Person,A bit of all right,,"""check him out, he's a bit of all right""",I probably hear it more on TV than in my social circles. Some people my age may say it humorously,Used equally by both men and women
A0037,R_1igFsZGdFjHsDmr,Attractive Person,Cool dude,,He is such a cool dude,Usually with a good looking male under 50 and usually in a social setting or watching a good looking male actor.,It is about style as much as physical appearance.
A0038,R_2OMYGoJv8pghrl2,Attractive Person,budju,,"""that chick is one sick budju"" (not my own expression!)",https://youtu.be/iZSBPMJP_00,
A0040,R_8c3DDrGAKq9etYl,Attractive Person,A bit of alright,,That Shelia is a bit of alright,Mainly by my Queensland cousins,
A0041,R_1mJgbFqfJniDqBK,Attractive Person,He/she is hot,,If you are out at a social function with singles or at the gym,Not for a while!,
A0042,R_1f77cfqvlhzneDm,Attractive Person,Fitt,,Oh she's fitt,At saint kilda beach,Nope
A0043,R_3ek8dBDFofKiA7h,Attractive Person,A Sort.,,He/She's a bit of a sort.,Mainly from the 'rurals' (there's another one) the boarders at school. We have continued to use it because it makes us laugh.,
A0044,R_3OravT8TDi4Sjjo,Attractive Person,Spunk,,"Check her out, what a spunk.","High school, more often girls talking about boys.",I am not 100% sure it's only used in Australia
A0045,R_2rUekGFxxsJiEY7,Attractive Person,Nice bit of skirt,,,,
A0046,R_qUg2MWMp8glTeO5,Attractive Person,Babe,,"""He's a babe""",Metro teens to young adults,
A0050,R_3gTLM7w13DP6eAB,Attractive Person,Looker,,She's a looker,Someone describing an attractive person in conversation,No
A0051,R_3qOul3It4o3Cdo1,Attractive Person,Beauty,,"""Saw that shiela at the servo, god she's a beauty""","Not often, but on media and by friends",I'm unsure if this is usually used for a person or an object - unclear to me
A0056,R_21hxZtzE7wSuWAN,Attractive Person,Hot,,This guy is hot,Peers,No
A0057,R_2pKzYiclf2Hbvmr,Attractive Person,beaut,,He/She's a real beaut ain't he/she,,
A0058,R_1FeQLxYd7FQLhrq,Attractive Person,Spunk,,That guy over there is a real spunk,If someone thinks someone is nice looking,
A0060,R_bwjYnyHjb3YCSd3,Attractive Person,Hansy dude,,He's a hansy dude!,Tamworth,
A0061,R_0Pd0XZ4dnosenex,Attractive Person,Beauty,,"""She's a beauty"", ""what a beauty""",Rural Victoria,"Often also used to refer to inanimate objects (cars, boats)"
A0062,R_1HoV4KTqkii7Wyc,Attractive Person,stunner,,The combination of face shape and hairstyle made her appear to be a real stunner.,In conversation; often.,
A0063,R_2491T28fW5IOQlf,Attractive Person,Stunner,,He's a stunner,Tv,
A0064,R_24dw0X2U9mMJgOq,Attractive Person,spunk rat,,"Oi, check him out. What a total spunk rat",colloquially,1908s
A0065,R_6EUJluMBOpaQwgN,Attractive Person,Babe magnet,,He's a real babe magnet.,In my teens and twenties,
A0069,R_svUjzfGGrfSLKRr,Attractive Person,Spunk,,Gee Mary is a spunky looking sheila,Work and home,
A0070,R_XvlWwDrRnhLBJfP,Attractive Person,Good sort.,,"Shit, Ashleigh. With an arse like that, yer a helluva good sort!",Talking to my wife... like right now.,My wife is pretty sexy.
A0071,R_32XcZs2W9ieDJa0,Attractive Person,bangin,,he is bangin,out socially,
A0072,R_0SxfCfjWIo7F5Sx,Attractive Person,spunk,,"He's such a spunk, so good looking.","To describe someone good looking, male or female. I think it is being replaced by 'hottie', you don't hear the kids saying spunk.",There's also an accepted understanding that spunky means brave and plucky.
A0075,R_1OviB8toSsuE95N,Attractive Person,a glamour,,She's grown into such a glamour,,
A0077,R_2xPfjOiYJr6yHMy,Attractive Person,A colossal bit of skirt,,That sheila's a colossal bit of skirt,"Television, a long time ago :)",Obviously this is gender specific so perhaps it isn't what you're looking for.
A0078,R_31TpKHyzxG0mIN6,Attractive Person,Spunk or honey,,Get a load of that hunk of spunk,Social outings in country Victoria,Probably no longer used by teenagers
A0080,R_24Adb2m5tpPSdgE,Attractive Person,Looker,,Oh they're a looker!,Usually people in their 40's and above,"I don't know if I use this seriously, more used when I'm doing a Kath and Kim jokey accent"
A0082,R_3ncJ0M3HmIVj2Jn,Attractive Person,Beaut,,"She's a beaut, that's for sure.","As a compliment, mostly in rural Victoria.","Can also be used to describe other attractive things, such as scenery (a beaut view)"
A0084,R_sAtOmQjKEjrPfz3,Attractive Person,looker,,That James is a bit of a looker.,"I've used it myself, not confined to any particular location.",
A0087,R_10phZFVkMGOweNR,Attractive Person,Spunk,,She's a spunk,Everywhere,
A0090,R_2YSvMGJuN4kBi96,Attractive Person,Hottie,,Check him out he's a bit of a hottie,My neighbour,
A0091,R_27EA2S6Almc2Skh,Attractive Person,Goer,,He/she is a goer.,"Not often heard. In fact, I found it hard to think of an appropriate word I've heard apart from 'hot'.",Not sure who if it means a mutual attraction. 'Looker' suggests one sided more - descriptive.
A0094,R_1n12A76vAUjeEVq,Attractive Person,Weapon,,She's a weapon,Within social groups/online,
A0096,R_124k5ki6SCCI6Ly,Attractive Person,Shit hot,,He/she looks shit hot,,
A0097,R_3EMYk3cW3Sjs4tn,Attractive Person,Spunk,,She is a spunk,"With friends, or out shopping, often",
A2565,R_1IishaMDpoc4Sdv,Attractive Person,Good sort,,She's a good sort,"Friends, family, TV",Can also been a good and kind person
A2566,R_2bI7g89yUPfvOKX,Attractive Person,Babe,,What a babe,Everyday,
A2433,R_2rCMHFRJSvewalT,Attractive Person,Stud,,He's such a stud.,"High school in the country, I think.",
A2158,R_1nOZEakjxJxbOZM,Attractive Person,A bit of a looker,,S/He's a bit of a looker,When referring to someone you have seen (e.g. across a room) who you find attractive,
A2567,R_6PPbLQlWf159LFv,Attractive Person,A spunk,,She's a spunk,Hear and use it all the time. Especially to my mates.,I love it
A2182,R_3PipXeTtHZslHsw,Attractive Person,Hottie,,Chris Hemsworth is a definite Hottie,Media,
