participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0001,R_3MarUAEXgFBBuGf,Attractive Female,drop dead gorgeous,,She is drop dead gorgeous,everywhere,
A0002,R_3pmQPCnOfdyR2No,Attractive Female,drop dead gorgeous,,That Bird is drop dead gorgeous,I use it myself,
A0003,R_3qVjXWdknzHy4j5,Attractive Female,a dish,,"woe, what a dish she is",,
A0005,R_1mK8kLtcwTvho8W,Attractive Female,Good looking Sheila,,She is a good looking Sheila,Tv shows,No
A0007,R_Tba7dCWNOzl4lhL,Attractive Female,looker,,His missus was a bit of a looker,"Australian cultural content -- self-consciously Aussie older tv, etc.",can't imagine anyone saying it seriously now (at least not among people I know)
A0008,R_3QJeHhx8WNfrL3Q,Attractive Female,A real looker,,She's a real looker,My dad,
A0009,R_xgDzRk6IMsmtDR7,Attractive Female,Babe,,She's a babe,To descibe a woman,I accidently skipped the last question - Spunk can be used to describe an attractive male
A0012,R_3j0wrfek7k9iVO3,Attractive Female,Stunner,,She's a stunner.,In conversation.,
A0013,R_2y8gILYzDBaSe2N,Attractive Female,She's a stunner,,,In general,
A0015,R_1QuRC1uLCQOGXFW,Attractive Female,Easy on the eye,,Well she is pretty easy on the eye,Feels old - this kind of comment not as acceptable?,
A0017,R_2ZP7Z2ueSBIB0s3,Attractive Female,Stunner,,She's an absolute stunner,I feel like this is one I would have heard relatively recently,
A0018,R_u9z1WkNe4ST7Y4h,Attractive Female,Bacon,,SHe's bacon,University of Western Australia,
A0019,R_8og7p5iKmdGyQ4V,Attractive Female,Bombshell,,Wow she's a bombshell,Whenever there's a gorgeous girl,
A0022,R_3Lclg1JL8cM2WDa,Attractive Female,Sheila?,,That Sheila is attractive,On tv? That add for sheilas wheels car insurance?,"It feels really sleazy and I'm not sure if it's even referring to attractiveness, maybe more womanliness? I'm not super certain on this one"
A0024,R_4GUQVowv5UL5Stb,Attractive Female,Hottie,,"That bonza shiela is a total hottie, and has a rad personality too",Casual conversation,Maybe not particularly Australian
A0031,R_3s4xEqgp6fc9VmW,Attractive Female,Cute,,Cute Asian chicks,By my teen kids as a complimentary comment '(not intended to be racist),You could substitute 'cute' with 'hot'. Hot is stronger
A0032,R_2bJZCteOdKLHfqv,Attractive Female,I guess? I wouldn't use these. But I've heard hottie or looker,,She's a looker / she's a hottie,"Not really around people my age, that I can recall, I think we're more likely to just use an adjective (she's hot). But among slightly older people perhaps",I don't really use these but if someone around me used them I would understand them. I am familiar with some words like 'dishy' or 'a dish' or 'spunk' but heard those used more in my parents generation and I wouldn't really use them except as a joke.
A0034,R_24pXXdrFmVGlWSl,Attractive Female,sheila,,who's that sheila?,maybe alf on home and away?,"probably not necessarily attractive, just female"
A0041,R_1mJgbFqfJniDqBK,Attractive Female,Hottie,,A guy describing an attractive female,,
A0042,R_1f77cfqvlhzneDm,Attractive Female,Chick,,She's a hot chick,At saint kilda beach,Nope
A0043,R_3ek8dBDFofKiA7h,Attractive Female,Bonza Sheila,,That Sally is a bonza Sheila.,My father and his generation (born in the 30's and 40's).,
A0045,R_2rUekGFxxsJiEY7,Attractive Female,Nice bit of homework,,,,
A0051,R_3qOul3It4o3Cdo1,Attractive Female,Chick,,"""Who's that chick over there? She's a stunner""",Mainly by younger men,
A0058,R_1FeQLxYd7FQLhrq,Attractive Female,Stunner,,That girl is an absolute stunner,Over the years I've heard it a lot,
A0060,R_bwjYnyHjb3YCSd3,Attractive Female,A bit alright,,She's a bit alright,Country Australia,
A0062,R_1HoV4KTqkii7Wyc,Attractive Female,knockout,,With that body all the boys considerd her to be a knockout.,"Conversation, but less frequently in these more enlightned times.",
A0063,R_2491T28fW5IOQlf,Attractive Female,Chick,,She's a good looking chick,Tv,
A0064,R_24dw0X2U9mMJgOq,Attractive Female,babe,,My mum was a total babe in her day,,
A0065,R_6EUJluMBOpaQwgN,Attractive Female,Chick or babe,,,Not much lately!!!,
A0069,R_svUjzfGGrfSLKRr,Attractive Female,Stunner,,You are a real stunner darlin.,Work and home and school.,
