participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0001,R_3MarUAEXgFBBuGf,Attractive Male,spunk,,Brett Sutton is a spunk,,
A0003,R_3qVjXWdknzHy4j5,Attractive Male,a pretty boy,,,,
A0005,R_1mK8kLtcwTvho8W,Attractive Male,Stud,,He is such a stud,Young people referring to boys and men when I was growing up,No
A0009,R_xgDzRk6IMsmtDR7,Attractive Male,Spunk,,He's a spunk,In my youth to descibe a male,Can also be spunkrat
A0012,R_3j0wrfek7k9iVO3,Attractive Male,spunk,,What a spunk!,This one goes back to my youth (70s or 80s),I wouldn't use it now except ironically.
A0013,R_2y8gILYzDBaSe2N,Attractive Male,Stud,,He's a stud,I'm general,
A0015,R_1QuRC1uLCQOGXFW,Attractive Male,Fuckable,,Do you think he's fuckable or no?,Women talking about men I think - no men there,
A0017,R_2ZP7Z2ueSBIB0s3,Attractive Male,Stud,,Darren is such a stud,It was in frequent use at Assumption College Kilmore in the early 90s,Clearly comes from horses
A0031,R_3s4xEqgp6fc9VmW,Attractive Male,Hot as,,He's hot as,As a passing comment usually,"Again, not sure how Aussie 'hot' is but adding 'as' for emphasis is very common"
A0032,R_2bJZCteOdKLHfqv,Attractive Male,Hot / hottie or maybe hunk,,He's hot - he's a hottie,Again I haven't really heard this much! I more hear descriptors like 'he's hot' 'he's cute',"Ive heard my parents generation use dish, spunk, hunk, etc but no one my age really uses those. For me it's hard to think of a typical expression that's used often to describe this."
A0033,R_2CTzqcrC7w1fQrC,Attractive Male,Hunk of spunk,,"""check out that hunk of spunk""","I think it might be dated, but when I was younger would hear older people say it more seriously","Obviously it's pronounced ""hunka spunk"""
A0037,R_1igFsZGdFjHsDmr,Attractive Male,Stud,,He is a real stud,In a social but private setting; women friends commenting on a bloke.,No
A0040,R_8c3DDrGAKq9etYl,Attractive Male,Spunk,,I reckon Phil is a real spunk,This was really common when I was a teenager,Don't hear that often now
A0041,R_1mJgbFqfJniDqBK,Attractive Male,He's good looking,,A woman describing a good looking man,,
A0042,R_1f77cfqvlhzneDm,Attractive Male,I don't know,,,,
A0043,R_3ek8dBDFofKiA7h,Attractive Male,Rooster.,,He's a handsome Rooster alright.,Mainly my father's generation.,
A0045,R_2rUekGFxxsJiEY7,Attractive Male,Spunk,,He's such a spunk,Growing up in the 80s,
A0049,R_26nEN0ZEyR62Jm3,Attractive Male,He's a babe or he is hot,,As above,,
A0056,R_21hxZtzE7wSuWAN,Attractive Male,Chick magnet,,He's a chick magnet,At university,No
A0058,R_1FeQLxYd7FQLhrq,Attractive Male,A babe,,He's a real babe,,
A0060,R_bwjYnyHjb3YCSd3,Attractive Male,Spunk,,He's a spunk!,,
A0065,R_6EUJluMBOpaQwgN,Attractive Male,Chick magnet or babe magnet,,,,
A0069,R_svUjzfGGrfSLKRr,Attractive Male,Hotty,,Mark is a hotty.,School,
