participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0001,R_3MarUAEXgFBBuGf,Unattractive Person,hit with the ugly stick,,he was hit with the ugly stick,,
A0003,R_3qVjXWdknzHy4j5,Unattractive Person,ugly as sin,,His wife is as ugly as sin.,,
A0004,R_3rGNrQUp49FGe48,Unattractive Person,Half eaten pasty,,She is as ugly as a half eaten pasty,,It could just be used by my family ….
A0005,R_1mK8kLtcwTvho8W,Unattractive Person,Dog,,She is such a dog,Used by young people when I was growing up,No
A0008,R_3QJeHhx8WNfrL3Q,Unattractive Person,Fugly,,He's fugly,At school,
A0009,R_xgDzRk6IMsmtDR7,Unattractive Person,Mole,,She's a mole,In conversation,
A0010,R_9LxrzF7tyLH6LcJ,Unattractive Person,Fugly,,,,
A0011,R_1r8Ouc1dRUJUdBw,Unattractive Person,Fugly,,That person's fugly,Informal contexts,"It's a combination of ""fucking ugly"""
A0012,R_3j0wrfek7k9iVO3,Unattractive Person,gross,,He/she is gross.,In conversation,Probably refers more to unattractive behaviours than appearance.
A0013,R_2y8gILYzDBaSe2N,Unattractive Person,A bag,,Should be in a bag,I'm general,
A0014,R_10CvZlGtuabviV0,Unattractive Person,Face like a dropped pie,,He/she had a face like a dropped pie,Friends,
A0015,R_1QuRC1uLCQOGXFW,Unattractive Person,Good face for radio,,He dresses well but has a good face for radio,I'd use this,
A0017,R_2ZP7Z2ueSBIB0s3,Unattractive Person,Dog,,"Jeez, check out that fucking dog.",In Kilmore in the 90s,Used only to refer to women
A0018,R_u9z1WkNe4ST7Y4h,Unattractive Person,Spam,,She's spam,University of Western Australia,
A0020,R_voaa3RzI5INwKc1,Unattractive Person,face like a bucket of smashed crabs,,she's got a face like a bucket of smashed crabs,"very informal/rude, not terribly common",
A0022,R_3Lclg1JL8cM2WDa,Unattractive Person,Uggo,,What an uggo,I'm not sure,
A0023,R_2uNDhPU4aaTeS7m,Unattractive Person,Barry Crocker,,,,
A0024,R_4GUQVowv5UL5Stb,Unattractive Person,Minga,,Such a Minga,,"British really, derived from Ming the Merciless"
A0025,R_2wTWyL62pvTif9d,Unattractive Person,Dog,,She's a dog mate,Train station- young guys,Disgusting word- wish it didn't exist
A0028,R_3DjUZGcGGEmbVrs,Unattractive Person,Dog,,,,
A0030,R_1hWQ37DYhqL7Nbl,Unattractive Person,Smashed crab,,Face like a smashed crab,In oz,
A0031,R_3s4xEqgp6fc9VmW,Unattractive Person,Gross,,He/She's so gross,Usually describing an unpleasant habit or off putting behaviour,
