participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0001,R_3MarUAEXgFBBuGf,Arrogant,"up themselves, doesnt think their shit stinks",,,,
A0002,R_3pmQPCnOfdyR2No,Arrogant,Dickhead,,That guy is a total dickhead,I use it myself,
A0003,R_3qVjXWdknzHy4j5,Arrogant,up him[her]self,,He is so up himself,in adult life across Australia,
A0004,R_3rGNrQUp49FGe48,Arrogant,Figjam,,Check out figjam over there,,"It stands for ""F&$k I am good just ask me"""
A0007,R_Tba7dCWNOzl4lhL,Arrogant,to have tickets on oneself,,"""he's got tickets on himself""",I think my baby boomer parents say this.,I'm not sure if this is only Australian.
A0008,R_3QJeHhx8WNfrL3Q,Arrogant,A swinging dick,,He's a swinging dick,My husband,
A0009,R_xgDzRk6IMsmtDR7,Arrogant,up himself/herself,,He's so up himself,Conversations,
A0010,R_9LxrzF7tyLH6LcJ,Arrogant,Tosser,,,,
A0011,R_1r8Ouc1dRUJUdBw,Arrogant,Snob,,That person is a snob,,I think it is British as well
A0012,R_3j0wrfek7k9iVO3,Arrogant,fuckwit,,Morrison is a fuckwit.,In conversation,Probably doesn't refer merely to arrogance but it is certainly a part of it.
A0013,R_2y8gILYzDBaSe2N,Arrogant,Up themselves,,They are up themselves,I'm general,
A0014,R_10CvZlGtuabviV0,Arrogant,Up him/herself,,She's so up herself,Amongst friends,
A0015,R_1QuRC1uLCQOGXFW,Arrogant,Up him/herself,,She won't listen she's so up herself,Everywhere,Also like 'needs a board over his arse to stop himself from falling in'
A0017,R_2ZP7Z2ueSBIB0s3,Arrogant,Loves themself (pejorative),,You really love yourself don't ya?,"It was a frequent insult in Kilmore in late primary school, early high school",A bit of a sad indictment of Australian self esteem
A0018,R_u9z1WkNe4ST7Y4h,Arrogant,Thinks he's the bees knees,,,,
A0019,R_8og7p5iKmdGyQ4V,Arrogant,Full of himself,,That guy is so full of himself,When someone is telling everyone how good they are,
A0020,R_voaa3RzI5INwKc1,Arrogant,king shit,,he think's he's king shit,reasonably common in informal speech,not sure this is exclusively AusEng
A0023,R_2uNDhPU4aaTeS7m,Arrogant,Tall poppy,,,,
A0024,R_4GUQVowv5UL5Stb,Arrogant,Up themselves,,That retard is fucking up himself,"It's pretty common, bit bogan",
A0025,R_2wTWyL62pvTif9d,Arrogant,Up themselves,,He is so up himself!,Many instances- quite common,
A0027,R_10P1gUJz70MK2HP,Arrogant,Up himself,,Hes quite up himself,Family and friends growing up,
A0028,R_3DjUZGcGGEmbVrs,Arrogant,Up themselves,,,,
A0029,R_2WvYbsSiVeItsA5,Arrogant,Thinks he's top shit,,,Everyone I know uses this,
A0030,R_1hWQ37DYhqL7Nbl,Arrogant,Im tird,,No,Im dine,Over it
A0031,R_3s4xEqgp6fc9VmW,Arrogant,Up themselves,,He's so up himself,Many times in situations where someone feels put down by someone else,
A0032,R_2bJZCteOdKLHfqv,Arrogant,Up yourself / up himself,,"'I hate that guy, he's so up himself'","With friends, casual conversation, but also would use with coworkers as it's not too uncommon and not overly offensive I think.",I feel like this is more common now than 'stuck up' or 'cocky' or any of those older descriptors. It seems quite common to me.
A0033,R_2CTzqcrC7w1fQrC,Arrogant,Up yourself/themself,,Your coming across as really up yourself,A lot in school but also casually when discussing TV shows or people who aren't around,
