participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0001,R_3MarUAEXgFBBuGf,Nonsense,rubbish,,gladys' covid policy is rubbish,,
A0002,R_3pmQPCnOfdyR2No,Nonsense,Bunk,,That story is total bunk,I use it myself,
A0003,R_3qVjXWdknzHy4j5,Nonsense,crap,,What a lot of crap that was!,,
A0004,R_3rGNrQUp49FGe48,Nonsense,Bull shit,,Tell her she is full of bull shit,,
A0005,R_1mK8kLtcwTvho8W,Nonsense,Crap,,That is total crap,People,No
A0007,R_Tba7dCWNOzl4lhL,Nonsense,crap,,"""that's crap""",I feel like this is pretty common and neutral-sounding (e.g. not ocker) and can be used by people my age.,"Obviously it's not solely Australian, but I associate it more with Australia. I'd think of 'bullshit' as being more American."
A0008,R_3QJeHhx8WNfrL3Q,Nonsense,Bulldust,,That's bull dust,Mum,
A0009,R_xgDzRk6IMsmtDR7,Nonsense,Rubbish,,That's rubbish,Arguments,
A0010,R_9LxrzF7tyLH6LcJ,Nonsense,Load of shit,,,,
A0011,R_1r8Ouc1dRUJUdBw,Nonsense,Rubbish,,That's rubbish,,
A0012,R_3j0wrfek7k9iVO3,Nonsense,crap,,I'm sick of her crap.,In conversation,
A0013,R_2y8gILYzDBaSe2N,Nonsense,Twaddle,,That's a lot of nonsense,In general,
A0014,R_10CvZlGtuabviV0,Nonsense,A load of bull crap,,What he said was a load of bull crap,,
A0015,R_1QuRC1uLCQOGXFW,Nonsense,Bullshit / bull,,What a load of bull!,Universal,"Is it just Australian, though?"
A0017,R_2ZP7Z2ueSBIB0s3,Nonsense,Bulldust,,That's complete bulldust,"In polite company where to say ""bullshit"" would be impolite",I think there's some kind of dust in the outback that is called bulldust too?
A0018,R_u9z1WkNe4ST7Y4h,Nonsense,Poppycock,,,,
A0019,R_8og7p5iKmdGyQ4V,Nonsense,Horseshit,,Oh that's just a load of horseshit,When someone is talking absolute crap,
A0023,R_2uNDhPU4aaTeS7m,Nonsense,Shite,,,,
A0024,R_4GUQVowv5UL5Stb,Nonsense,Bullshit,,It's bullshit that the Minga in charge of the vaccine rollout is such a drongo,Everywhere,
A0025,R_2wTWyL62pvTif9d,Nonsense,Bullshit,,That's complete bullshit!,All the time,
A0028,R_3DjUZGcGGEmbVrs,Nonsense,Talking shit,,,,
A0031,R_3s4xEqgp6fc9VmW,Nonsense,Bullshit,,Ah that's just bullshit mate,Arguments but also in heated discussions,
A0032,R_2bJZCteOdKLHfqv,Nonsense,"Rubbish, codswollop, load of shit / bullshit",,My mum would use the first two- if I tell her something she doesn't believe she would say 'rubbish' or 'what a load of codswallop'. She also says things are 'drivel' or 'tripe' (she is 59). Friends my age are more likely to say 'that's a load of shit' or call 'bullshit'.,"Informal - at home, with friends, hanging out. It might be someone calling you on a (potentially outrageous) claim you've made.",I think people my age get all those older expressions but are more likely to use something involving shit / crap themselves. I don't use a lot of 'swear' words so I might say 'that's ridiculous' rather than say the noun. But it depends on social context.
