participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0001,R_3MarUAEXgFBBuGf,Alcohol,"piss, grog",,,,
A0003,R_3qVjXWdknzHy4j5,Alcohol,grog,,Just going down to pick up some grog,throughout my life,
A0004,R_3rGNrQUp49FGe48,Alcohol,Piss,,Tonight we are going to get on the piss,Pub,
A0005,R_1mK8kLtcwTvho8W,Alcohol,Booze,,Can you bring some booze?,"Friends, husband",No
A0006,R_reDfFUbAmVVOPlL,Alcohol,Grog,,Me grog.,Old men. Tv.,
A0007,R_Tba7dCWNOzl4lhL,Alcohol,turps,,"""he's been on the turps"", ""would you like some turps?"" (self-conscious use)","First heard it from my first boyfriend's parents (Anglo-Celtic Australian left-wing baby boomers) who used it to offer people wine at the dinner table. Since that time, I've more heard it used to describe drunken men (""he's been on the turps).",
A0009,R_xgDzRk6IMsmtDR7,Alcohol,Grog,,,,
A0010,R_9LxrzF7tyLH6LcJ,Alcohol,Booze,,,,
A0011,R_1r8Ouc1dRUJUdBw,Alcohol,Booze,,Get some booze,Older people and my generation I think,
A0012,R_3j0wrfek7k9iVO3,Alcohol,booze,,Just bring your own booze.,In conversation,
A0013,R_2y8gILYzDBaSe2N,Alcohol,Boozer,,They are boozers,In general,
A0014,R_10CvZlGtuabviV0,Alcohol,Booze,,Can't wait to hit the booze this weekend,,
A0015,R_1QuRC1uLCQOGXFW,Alcohol,Plonk,,I'll bring a bottle of plonk to have with dinner,Me and people my age,Younger people would say goon
A0017,R_2ZP7Z2ueSBIB0s3,Alcohol,Grog,,Pass the grog,"Usually refers to hard liquor, but can be for any alcohol. Sly grog, on the grog.",
A0018,R_u9z1WkNe4ST7Y4h,Alcohol,Booze,,,,
A0019,R_8og7p5iKmdGyQ4V,Alcohol,Bevvy,,Time for a bevvy I think,Whenever someone thinks it's time to start drinking,
A0020,R_voaa3RzI5INwKc1,Alcohol,turps,,Old mate is on the turps again,"informal speech, reasonably common still",a bit dated
A0021,R_3flfqGE6xkqxbHb,Alcohol,Goon,,She mainly drinks goon,,"Actually a type of alcohol (cheap, cask wine). Can't think of terms for alcohol in general."
A0022,R_3Lclg1JL8cM2WDa,Alcohol,Goon,,Let's play goon of fortune with this goon,In conversation,"It's more a slang term for cask wine than for any alcohol, but it feels specifically Australian"
A0023,R_2uNDhPU4aaTeS7m,Alcohol,"Booze, grog,",,,,
A0024,R_4GUQVowv5UL5Stb,Alcohol,Piss,,Get on the piss,"Constantly, it's disgusting","Why the hell do we talk about drinking piss, it's unpleasant"
A0025,R_2wTWyL62pvTif9d,Alcohol,Booze,,I'm going to get some booze,Friends,
A0027,R_10P1gUJz70MK2HP,Alcohol,Booze,,,Growing up,
A0028,R_3DjUZGcGGEmbVrs,Alcohol,"Grog, goon, tinny",,,,
A0029,R_2WvYbsSiVeItsA5,Alcohol,Booze,,Bring the booze to the bbq,Everyone I know uses this word,
A0031,R_3s4xEqgp6fc9VmW,Alcohol,Beers,,Get on the beers,Famously by Premier Daniel Andrews,
A0032,R_2bJZCteOdKLHfqv,Alcohol,Plonk or goon,,"'I'll bring some plonk(to the party)' - would only refer to cheap alcohol, usually cheap wine. Goon is also cheap bagged wine.","Parties, school friends, casual scenarios",To me plonk feels a little older but I would still use it. Goon is pretty common but now that my friends and I are in our 30s we don't drink it as much haha!
A0033,R_2CTzqcrC7w1fQrC,Alcohol,Booze,,"""do we need to pick any booze up for dinner?""","All the time, would even say it to my grandma",
A0034,R_24pXXdrFmVGlWSl,Alcohol,booze,,is there booze?,home and community,
A0035,R_2VPAgu108j33uuh,Alcohol,Booze,,Let's all get together for a booze-up (party) for New Year's!,I use it! There was even a group of bottle shops called 'Booze Brothers' - not sure if it is still around.,
A0036,R_3hgYG7yl4AJ61SE,Alcohol,grog,,i've just been to the bottle shop to stock up on some grog for the weekend,,
A0037,R_1igFsZGdFjHsDmr,Alcohol,Grog,,I've got a cupboard full of grog.,At a party or social event.,Usually basic alcohol
A0038,R_2OMYGoJv8pghrl2,Alcohol,booze,,,,
