participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0001,R_3MarUAEXgFBBuGf,Intoxicated,"pissed, under the weather, drunk",,,,
A0002,R_3pmQPCnOfdyR2No,Intoxicated,Pissed,,That person is pissed,I use it myself,
A0003,R_3qVjXWdknzHy4j5,Intoxicated,blotto,,He was totally blotto,in adult life,
A0004,R_3rGNrQUp49FGe48,Intoxicated,Maggoted,,He left because he was maggoted,Pub,
A0005,R_1mK8kLtcwTvho8W,Intoxicated,Pissed,,He was totally pissed,Young people talking about getting drunk,No
A0007,R_Tba7dCWNOzl4lhL,Intoxicated,pissed,,'he must have been pissed' (on hearing of an outrageous thing someone has done),I feel like its use was widespread in Australia throughout my life until recently when the use of the American 'pissed'='pissed off' became more well-known due to mass online communication.,associated with descriptions of men
A0008,R_3QJeHhx8WNfrL3Q,Intoxicated,Pissed,,He is pissed,School,
A0009,R_xgDzRk6IMsmtDR7,Intoxicated,Off your face,,She's off her face,At a party,
A0010,R_9LxrzF7tyLH6LcJ,Intoxicated,Pissed,,That bloke is so pissed.,,
A0011,R_1r8Ouc1dRUJUdBw,Intoxicated,Pissed,,I was so pissed last night,,
A0012,R_3j0wrfek7k9iVO3,Intoxicated,pissed,,He was so pissed he couldn't even speak.,Everywhere,
A0013,R_2y8gILYzDBaSe2N,Intoxicated,Under the weather,,He's under the weather,In general,
A0014,R_10CvZlGtuabviV0,Intoxicated,Hammered,,Got so hammered last night,,
A0015,R_1QuRC1uLCQOGXFW,Intoxicated,Shickered,,I use it but as a deliberate revival I love it so much,Only me,
A0017,R_2ZP7Z2ueSBIB0s3,Intoxicated,pissed as a fart. maggot.,,"I got absolutely maggot on fridee. Yeah, you were pissed as a fart.","By men, almost exclusively","Maggot, not ""maggoted"", despite the grammatical construction"
A0018,R_u9z1WkNe4ST7Y4h,Intoxicated,"Plastered, wasted, pissed",,,,
A0019,R_8og7p5iKmdGyQ4V,Intoxicated,Hammered,,You were hammered last night at the party,Whenever someone is describing being drunk,
A0020,R_voaa3RzI5INwKc1,Intoxicated,maggotted,,Senator McMahon was absolutely maggotted in the chamber and had to be removed,In reported speech in the Sydney Morning Herald! In informal conversation,Pretty common and more modern sounding than a lot of other terms of which there are so many
A0021,R_3flfqGE6xkqxbHb,Intoxicated,Smashed,,He's totally smashed,,Probably not Australian in origin? But very common here.
A0022,R_3Lclg1JL8cM2WDa,Intoxicated,Shitfaced,,He's really shitfaced,In conversation,
A0023,R_2uNDhPU4aaTeS7m,Intoxicated,"Schindler's list, Brahms & quist, 3 parts to the wind, tired & emotional, RAP (rat arse pissed), shit face",,,,
A0024,R_4GUQVowv5UL5Stb,Intoxicated,Pissed,,He drank too much piss and now he's pissed,Casual conversation,
A0025,R_2wTWyL62pvTif9d,Intoxicated,Shitfaced,,"He had so much to drink, he was completely shitfaced",Commonly- after people were drinking,
A0028,R_3DjUZGcGGEmbVrs,Intoxicated,Rat arsed,,,,
A0031,R_3s4xEqgp6fc9VmW,Intoxicated,To be off your face/rat arsed,,She got totally off her face/rat arsed at the staff do,Gossip usually,
A0032,R_2bJZCteOdKLHfqv,Intoxicated,"Plastered, off his/her face, para, hammered … there are lots!",,Did you see her at the party? She was plastered / hammered / para/ off her face,"School and uni friends, at a party or at a casual event after a party, someone telling the story of their weekend….","There are so many expressions for this but if someone said a word I didn't know, with this context, I would still know what it meant. I think para is short for paralysed and can also mean high potentially? Off his/her face can also mean this. As far as I've heard, plastered or hammered only means drunk."
A0033,R_2CTzqcrC7w1fQrC,Intoxicated,Sloshef,,You were absolutely sloshed last night,"Among friends, probably used more so when someone is ""messy drunk"" can't stand etc",
