participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0001,R_3MarUAEXgFBBuGf,Doesn't Do Fair Share,bludger,,,,
A0002,R_3pmQPCnOfdyR2No,Doesn't Do Fair Share,Bludger,,That bastard is a total bludger,I use it myself,
A0003,R_3qVjXWdknzHy4j5,Doesn't Do Fair Share,a slacker,,He has always been a slacker,everywhere,
A0004,R_3rGNrQUp49FGe48,Doesn't Do Fair Share,Bludger,,He won't be any help because he is just a bludger,,
A0005,R_1mK8kLtcwTvho8W,Doesn't Do Fair Share,Bludger,,He is such a bludger,In public,No
A0006,R_reDfFUbAmVVOPlL,Doesn't Do Fair Share,Bludger,,A dole bludger,Tv,
A0007,R_Tba7dCWNOzl4lhL,Doesn't Do Fair Share,bludger,,dole-bludgers,media discourse associated with 'dole-bludgers'. I don't think I've ever really heard someone in real life say it not in this combination.,"I feel like 'bludge' (adj. or noun) is something that I've heard in real life. At uni: ""a bludge subject"", ""that course is a bit of a bludge"""
A0008,R_3QJeHhx8WNfrL3Q,Doesn't Do Fair Share,Bludger,,He's a bludger,,
A0009,R_xgDzRk6IMsmtDR7,Doesn't Do Fair Share,Shirk,,He shirked his responsibilities,,
A0011,R_1r8Ouc1dRUJUdBw,Doesn't Do Fair Share,Bludger,,,,
A0012,R_3j0wrfek7k9iVO3,Doesn't Do Fair Share,bludger,,He's such a bludger; he never does anything. 'dole bludger',By people over 50.,Feels dated now.
A0013,R_2y8gILYzDBaSe2N,Doesn't Do Fair Share,Picker,,They are pickers,In general,
A0014,R_10CvZlGtuabviV0,Doesn't Do Fair Share,Freeloader,,I can't stand freeloaders,,
A0015,R_1QuRC1uLCQOGXFW,Doesn't Do Fair Share,Bludger,,Dole bludger,Feels like it's on the way outbreak,
A0017,R_2ZP7Z2ueSBIB0s3,Doesn't Do Fair Share,"Bludger, or bludge",,Bloody dole bludgers,In reference to someone that doesn't work hard,
A0018,R_u9z1WkNe4ST7Y4h,Doesn't Do Fair Share,Bludger,,,,
A0019,R_8og7p5iKmdGyQ4V,Doesn't Do Fair Share,Freeloader,,"Watch Jeff when we're all cleaning up, he just stands there doing nothing, such a freeloader",Whenever there's someone not chipping in to help,
A0020,R_voaa3RzI5INwKc1,Doesn't Do Fair Share,bludger,,The media is always after dole bludgers,"Everywhere; media, conversations",
A0021,R_3flfqGE6xkqxbHb,Doesn't Do Fair Share,Bludger,,,,"Also used in 'dole bludger' and as a verb 'to bludge', and as a modifier e.g. 'a bludge subject'"
A0022,R_3Lclg1JL8cM2WDa,Doesn't Do Fair Share,Bludger or bludging,,"He's a bludger, he's bludging off others","In conversation, by journalists (eg dole bludger)",
A0023,R_2uNDhPU4aaTeS7m,Doesn't Do Fair Share,Bludger,,,,
A0024,R_4GUQVowv5UL5Stb,Doesn't Do Fair Share,Slacker,,,,
A0025,R_2wTWyL62pvTif9d,Doesn't Do Fair Share,Lazy cunt,,"He's a lazy cunt, he doesn't do shit all",Train station- young men,It feels very crass / bogan
A0027,R_10P1gUJz70MK2HP,Doesn't Do Fair Share,Bludger,,Hes always been a bludger,Growing up,
A0028,R_3DjUZGcGGEmbVrs,Doesn't Do Fair Share,Bludger,,,,
A0031,R_3s4xEqgp6fc9VmW,Doesn't Do Fair Share,Bludger,,He's a right fuckin' bludger,Describing someone who doesn't pull their weight,
A0032,R_2bJZCteOdKLHfqv,Doesn't Do Fair Share,"Bludger, slacker/slacko",,"'He never does anything, what a bludger' - can also be a verb / bludging, slacking off","Casual conversation, share house (who does what job!!) and work (complaining about coworkers)","I personally don't think bludger or slacker gives the full meaning of someone who doesn't contribute their full share of something (although it CAN). I think there might be another word for that, that escapes me right now. For me blushing and slacking can mean that but can also just mean lazy. Eg a dole bludger."
A0033,R_2CTzqcrC7w1fQrC,Doesn't Do Fair Share,Bludger,,I got stuck in a group assignment with a bunch of bludgers,"Used frequently. Politicians and journos use ""dole bludger"", friends and family use it when complaining about co-workers, partners, friends etc",
A0034,R_24pXXdrFmVGlWSl,Doesn't Do Fair Share,bludger,,he's a dole bludger,today tonight :),
A0035,R_2VPAgu108j33uuh,Doesn't Do Fair Share,Bludger,,Dole bludgers the lot of them! None of them have had a job in their lives!,"This was used a lot at school for kids that didn't do their work, or lazy kids - you would 'bludge' from other people's work I think from memory, meaning copy from them. It's used a lot in politics to demonise people on the dole.",
A0036,R_3hgYG7yl4AJ61SE,Doesn't Do Fair Share,bludger,,"he left before 5pm, he's such a bludger",,
A0037,R_1igFsZGdFjHsDmr,Doesn't Do Fair Share,Bludger,,He is such a bludger; he never pulls his weight.,When working,Usually relates to physical work
A0038,R_2OMYGoJv8pghrl2,Doesn't Do Fair Share,shirker,,,,
