participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0001,R_3MarUAEXgFBBuGf,Body Part,"willy, cock, todger, tommy, thing, dick",penis,,,
A0002,R_3pmQPCnOfdyR2No,Body Part,Scon,Head,He got hit on the Scon,I use it,
A0003,R_3qVjXWdknzHy4j5,Body Part,the scone,the head,The ball hit him right on the scone,no particular time or place,
A0004,R_3rGNrQUp49FGe48,Body Part,Scone,Head,Don't tell him that he will get a big scone,,
A0005,R_1mK8kLtcwTvho8W,Body Part,Tootsies,Toes,My tootsies are cold,I use it myself,No
A0007,R_Tba7dCWNOzl4lhL,Body Part,noggin,head,a knock on the noggin,I dredged it up from somewhere -- not sure when I've heard it.,"I'm not sure it's Australian, but it has that ring to it."
A0010,R_9LxrzF7tyLH6LcJ,Body Part,Hoof,Foot,Gee she has a a big hoof on her!,,
A0013,R_2y8gILYzDBaSe2N,Body Part,Noggin,Head,He 's off his noggin,In general,
A0015,R_1QuRC1uLCQOGXFW,Body Part,Mug,Face,Didn't think I'd see your ugly mug today,Older people I think,
A0017,R_2ZP7Z2ueSBIB0s3,Body Part,Proverbial,Bum,He needs a good kick up the proverbial,"It's not of my generation, but something I always found amusing",More common among older men. Perhaps by ive heard it used by Australian lawyers in a contemporary context.
A0018,R_u9z1WkNe4ST7Y4h,Body Part,Mince pies,Eyes,,Grandfather,
A0020,R_voaa3RzI5INwKc1,Body Part,Donger,penis,The girls all like him because he's got a huge donger or so I hear,"v informal, a bit rude. It is also a part of set expressions e.g. 'dryer than a dead dingo's donger'",pretty old fashioned
A0025,R_2wTWyL62pvTif9d,Body Part,Donger,Penis,He's dead as a dingo's donger,A joke my dad used to tell,Not common I don't think
A0027,R_10P1gUJz70MK2HP,Body Part,Noggin,Head,Use your noggin,Dad,
A0029,R_2WvYbsSiVeItsA5,Body Part,Noggin,It means head 'use your noggin',I think this is Australian- my teachers used to always say it,,
A0031,R_3s4xEqgp6fc9VmW,Body Part,Bum,The backside,Get off yer bum ya bludger,Telling someone not to be lazy,
A0033,R_2CTzqcrC7w1fQrC,Body Part,Map of tassie,Pubic hair around a vulva,"""you can see her map of tassie through those pants""","Informally and pretty crude. Have heard friends use it, haven't heard family use it (probably because inappropriate setting) but do know they know what it means. Comes up a lot at bingo, when the aim is to get an inverted triangle pattern marked off.",
A0037,R_1igFsZGdFjHsDmr,Body Part,Boobs,Breasts,She has got such big boobs,Men talking about a woman's breasts,Some younger women use this word descriptively.
A0038,R_2OMYGoJv8pghrl2,Body Part,various cockney rhyming slang terms,,,,question is too vague
A0040,R_8c3DDrGAKq9etYl,Body Part,Fanny,Vagina,I fell forward on my bike and hurt my fanny.,Commonly used,
A0041,R_1mJgbFqfJniDqBK,Body Part,Guns,Upper arm muscles,Check out his/her guns,At the gym,
A0042,R_1f77cfqvlhzneDm,Body Part,Meat and to veg,Penis,That ball hit me right in the meat and two veg,And footy the sam rephrasing as above aswell,Nope
A0043,R_3ek8dBDFofKiA7h,Body Part,Map of Tassie.,A woman's pubic hair.,"She was naked, you could see her map of Tassie.",Not often but usually amongst women of my generation.,It's hilarious and pretty clever.
A0044,R_3OravT8TDi4Sjjo,Body Part,Noggin,Head,"Got a good noggin, always been a thinker.",Casual conversation,Again not sure if uniquely Australian
A0045,R_2rUekGFxxsJiEY7,Body Part,Freckle,Arsehole,,,
A0046,R_qUg2MWMp8glTeO5,Body Part,Lid,Head,Look at your lid,,
A0049,R_26nEN0ZEyR62Jm3,Body Part,Noggin,Head,,,
A0052,R_TbmJAxhcciFUqD7,Body Part,Snoz,Nose,The cricket ball hit him fair on the snoz.,,
A0058,R_1FeQLxYd7FQLhrq,Body Part,Tits,Breasts,That Sheila has got a nice set of tits,I've heard it from uncouth males,
A0060,R_bwjYnyHjb3YCSd3,Body Part,Hoof,Foot,Hoof it,Country Australia,Get out of here (usually means on foot)
A0061,R_0Pd0XZ4dnosenex,Body Part,Noggin,Brain,"""Use ya noggin""",Rural Victoria,
A0062,R_1HoV4KTqkii7Wyc,Body Part,comics,"Stomach, rhyming slang for ""guts"".",The pain in his comics was getting worse.,"In conversation, but not so often now",
A0064,R_24dw0X2U9mMJgOq,Body Part,arse,bottom,Get off ya arse and help.,colloquially,"I see younger people using ass these days, which I find annoying because that's American spelling."
A0069,R_svUjzfGGrfSLKRr,Body Part,Fun bags,Breasts,Gee Gina's funbags are huge!,School,
A0070,R_XvlWwDrRnhLBJfP,Body Part,Coight,Anus,You coight.,TV. General use,From the ring toss game.
A0072,R_0SxfCfjWIo7F5Sx,Body Part,cake hole,mouth,Get that in your cake hole,"Tends to be older people, not an expression heard from younger ones.","It's funny and meant to be light hearted. Also, suggests the food will be bloody good!"
A0075,R_1OviB8toSsuE95N,Body Part,tuckshop arms,upper arms,I don't look good in this top with these tuckshop arms,,
A0078,R_31TpKHyzxG0mIN6,Body Part,Bearded clam,Female genitals,Did you spear the neared clam? (have sex),Two mates talking about a sexual conquest,Uncommon in usage
A0079,R_1GBQCxvIE3jwCIH,Body Part,Willy,Penis,,,
A0084,R_sAtOmQjKEjrPfz3,Body Part,noggin,head,did you knock your noggin?,"All my life in Sydney, Melbourne, Canberra, Pilbara, Armidale.",
A0087,R_10phZFVkMGOweNR,Body Part,Dick head,Penis,He's such a dick head,Everywhere,
A0090,R_2YSvMGJuN4kBi96,Body Part,Bingo wings,Loose upper arms,Oh no Mum don't wave like that I can see your bingo wings,"Yesterday, my kids!",Makes me laugh and reminds me of going to bingo in the townhall with my grandma who also had bingo wings
A0091,R_27EA2S6Almc2Skh,Body Part,Trap,Mouth,Open/close your trap.,Among family or friends.,
A0094,R_1n12A76vAUjeEVq,Body Part,Bunda,Butt,She's got a big bunda,It's very much influenced by UK social media acc and drill music that is popular within my area,
A0095,R_3LecgoTgDftG5QD,Body Part,Pies,Eyes,Get your pies of my pie.,Older australians/media,"variation on ""meat pies"""
