participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0001,R_3MarUAEXgFBBuGf,(Free Choice),"fanny, vag",vagina,,,
A0002,R_3pmQPCnOfdyR2No,(Free Choice),Nut,Your head,Got hit on the nut,I use it,
A0003,R_3qVjXWdknzHy4j5,(Free Choice),God stone the crows,An exclamation of frustration or exasperation,"God stone the crows, how much longer do we have to wait",all my life,
A0004,R_3rGNrQUp49FGe48,(Free Choice),Drongo,Idiot,"He is think, he is just a drongo",,
A0005,R_1mK8kLtcwTvho8W,(Free Choice),Cobber,A friend,Hey cobber,Australian movies and tv shows,Don't like it
A0006,R_reDfFUbAmVVOPlL,(Free Choice),Snag,Sausage,Throw a snag on the barbie,Everywhere,
A0007,R_Tba7dCWNOzl4lhL,(Free Choice),grouse,very good,"""that's grouse""",Never heard it until it was commonly used by host of ABC tv's Recovery in the 90s. I came into awareness that this was a Victorian expression. I've heard it since but certainly not part of my dialect.,
A0008,R_3QJeHhx8WNfrL3Q,(Free Choice),Ta,Thank you,Ta for that,Tennis court,
A0009,R_xgDzRk6IMsmtDR7,(Free Choice),Yobbo,A useless bogan,He's a total yobbo,,Can be shortened to yob
A0010,R_9LxrzF7tyLH6LcJ,(Free Choice),Cobba,Mate,Gday cobba,,
A0012,R_3j0wrfek7k9iVO3,(Free Choice),No worries,To shrug off someone's thanks 'you're welcome',Thanks for helping today...'no worries',Every bloody where.,
A0013,R_2y8gILYzDBaSe2N,(Free Choice),Ocker,Australian,He's an ocker,,
A0015,R_1QuRC1uLCQOGXFW,(Free Choice),Heaps,A lot of something / very,Heaps good/ don't worry we've got heaps,Everywhere,A Canadian friend commented on it as unfamiliar to him and frequent!
A0017,R_2ZP7Z2ueSBIB0s3,(Free Choice),Borrie,Shit,I was just in the dunnies and some dirty bastard hung a borrie right in the urinal,"Northern, and western suburbs of Melbourne and rural surrounds. I heard it in Kilmore, but friends from Ballarat knew it too. May have been just in the 90s?",Refers to Lake Borrie at the Werribee Poo Farm
A0018,R_u9z1WkNe4ST7Y4h,(Free Choice),Mate,Anyone really,,,
A0019,R_8og7p5iKmdGyQ4V,(Free Choice),Yobbo,An idiot,That guy fooling around of there is such a beer drinking yobbo,Whenever there's a yobbo around,
A0020,R_voaa3RzI5INwKc1,(Free Choice),wrap your laughing gear around that,eat this food,Dad made breakfast and said to 'wrap our laughing gear' around it,very old fashioned and blokey,
A0021,R_3flfqGE6xkqxbHb,(Free Choice),Reckon,Think,What do you reckon?,,
A0022,R_3Lclg1JL8cM2WDa,(Free Choice),Nah,"No, but more relaxed","""Is it hard?"" ""Nah""",In conversation,
A0023,R_2uNDhPU4aaTeS7m,(Free Choice),Mate,,,,
A0025,R_2wTWyL62pvTif9d,(Free Choice),Fuck all,Almost nothing,"I tried looking for strawberries, but found fuck all",Not sure,
A0027,R_10P1gUJz70MK2HP,(Free Choice),No worries,All is good,In reply to someone apologising or asking for something,Growing up,
A0028,R_3DjUZGcGGEmbVrs,(Free Choice),Durry,Cigarette,,,
A0029,R_2WvYbsSiVeItsA5,(Free Choice),You beauty,Something good,When your team wins - 'you beauty!',,
