participantID,responseID,ldac:age,gender,custom:currentLocation,orig_currentLocation,custom:grewUpInCurrentLocation,custom:childhoodLocation,orig_childhoodLocation
A0001,R_3MarUAEXgFBBuGf,40 - 60,Woman,3145,3145,No,Bankstown NSW,Bankstown NSW
A0002,R_3pmQPCnOfdyR2No,Over 60,Man,,,Yes,,
A0003,R_3qVjXWdknzHy4j5,Over 60,Man,6159,6159,No,South Australia - Adelaide and a number of country towns,South Australia - Adelaide and a number of country towns
A0004,R_3rGNrQUp49FGe48,40 - 60,Woman,6010,6010,No,2880,Broken Hill NSW
A0005,R_1mK8kLtcwTvho8W,40 - 60,Woman,6014,6014,No,6060,6060
A0006,R_reDfFUbAmVVOPlL,40 - 60,Prefer not to say,6014,6014,No,Uk,Uk
A0007,R_Tba7dCWNOzl4lhL,19 - 40,Woman,4067,"St Lucia, Qld",No,2600,Canberra
A0008,R_3QJeHhx8WNfrL3Q,40 - 60,Woman,6010,6010,No,6318,Broomehill
A0009,R_xgDzRk6IMsmtDR7,40 - 60,Woman,6010,6010,Yes,6010,
A0010,R_9LxrzF7tyLH6LcJ,40 - 60,Woman,6009,6009,No,3000,Melbourne
A0011,R_1r8Ouc1dRUJUdBw,40 - 60,Woman,3191,3191,Yes,3191,
A0012,R_3j0wrfek7k9iVO3,40 - 60,Woman,4573,4573,No,2000,Sydney NSW
A0013,R_2y8gILYzDBaSe2N,Over 60,Woman,,,No,Highgate,Highgate
A0014,R_10CvZlGtuabviV0,40 - 60,Woman,6016,6016,No,6100,6100
A0015,R_1QuRC1uLCQOGXFW,40 - 60,Woman,3073,3073,Yes,3073,
A0017,R_2ZP7Z2ueSBIB0s3,19 - 40,Man,3070,3070,No,"Southeastern suburbs of Melbourne, Jakarta, Kilmore","Southeastern suburbs of Melbourne, Jakarta, Kilmore"
A0018,R_u9z1WkNe4ST7Y4h,40 - 60,Man,6010,6010,No,6430,Kalgoorlie
A0019,R_8og7p5iKmdGyQ4V,40 - 60,Woman,3193,3193,No,3150,3150
A0020,R_voaa3RzI5INwKc1,40 - 60,Non-binary / gender diverse,3171,3171,No,"various, regional Victoria mainly","various, regional Victoria mainly"
A0021,R_3flfqGE6xkqxbHb,19 - 40,Man,3088,Greensborough 3088,No,3111,Donvale
A0022,R_3Lclg1JL8cM2WDa,19 - 40,Woman,3204,3204,No,London,London
A0023,R_2uNDhPU4aaTeS7m,40 - 60,Woman,6010,6010,No,6014,"Wembley, 6014,"
A0024,R_4GUQVowv5UL5Stb,40 - 60,Man,3435,3435,No,3191,3191
A0025,R_2wTWyL62pvTif9d,19 - 40,Woman,3055,3055,Yes,3055,
A0027,R_10P1gUJz70MK2HP,19 - 40,Woman,"Dublin, Ireland","Dublin, Ireland",No,4350,"Toowoomba, QLD"
A0028,R_3DjUZGcGGEmbVrs,40 - 60,Woman,Ireland,Ireland,No,2640,"Albury, NSW"
A0029,R_2WvYbsSiVeItsA5,19 - 40,Woman,2090,2090,No,4000,Brisbane
A0030,R_1hWQ37DYhqL7Nbl,40 - 60,Man,Waterford Ireland,Waterford Ireland,No,2340,Tamworth Australia
A0031,R_3s4xEqgp6fc9VmW,Prefer not to say,Woman,4075,4075,No,Africa,Africa
A0032,R_2bJZCteOdKLHfqv,19 - 40,Woman,3977,3977,No,"[3088, 3910]",Greensborough (3088) as a child and langwarrin (3910) as teenager
A0033,R_2CTzqcrC7w1fQrC,19 - 40,Man,3011,Footscray,No,"[5000, 2444]",Adelaide cbd and North shore sydney
A0034,R_24pXXdrFmVGlWSl,40 - 60,Woman,6010,6010,No,6018,6018
A0035,R_2VPAgu108j33uuh,40 - 60,Man,5061,5061,Yes,5061,
A0036,R_3hgYG7yl4AJ61SE,40 - 60,Woman,5204,"normanville, sa",No,england,england
A0037,R_1igFsZGdFjHsDmr,Over 60,Woman,5051,5051,No,England until age 15,England until age 15
A0038,R_2OMYGoJv8pghrl2,40 - 60,Woman,0810,Nightcliff NT 0810,No,3000,Melbourne VIC
A0039,R_WfB9hSVjmG63o4h,19 - 40,Man,3216,"Highton, 3216",No,3163,"Carnegie, 3163"
A0040,R_8c3DDrGAKq9etYl,40 - 60,Woman,3163,3163,No,3820,3820
